cantica;canto;cum_verse_number;verse_number;text;author
1;1;1;1;Nel mezzo del cammin di nostra vita;dante
1;1;2;2;mi ritrovai per una selva oscura,;dante
1;1;3;3;ché la diritta via era smarrita.;dante
1;1;4;4;Ahi quanto a dir qual era è cosa dura;dante
1;1;5;5;esta selva selvaggia e aspra e forte;dante
1;1;6;6;che nel pensier rinova la paura! </span>;dante
1;1;7;7;"Tant’è amara che poco è più morte;";dante
1;1;8;8;ma per trattar del ben ch’i’ vi trovai,;dante
1;1;9;9;dirò de l’altre cose ch’i’ v’ ho scorte.;dante
1;1;10;10;Io non so ben ridir com’i’ v’intrai,;dante
1;1;11;11;tant’era pien di sonno a quel punto;dante
1;1;12;12;che la verace via abbandonai.;dante
1;1;13;13;Ma poi ch’i’ fui al piè d’un colle giunto,;dante
1;1;14;14;là dove terminava quella valle;dante
1;1;15;15;che m’avea di paura il cor compunto,;dante
1;1;16;16;guardai in alto e vidi le sue spalle;dante
1;1;17;17;vestite già de’ raggi del pianeta;dante
1;1;18;18;che mena dritto altrui per ogne calle.;dante
1;1;19;19;Allor fu la paura un poco queta,;dante
1;1;20;20;che nel lago del cor m’era durata;dante
1;1;21;21;la notte ch’i’ passai con tanta pieta.;dante
1;1;22;22;E come quei che con lena affannata,;dante
1;1;23;23;uscito fuor del pelago a la riva,;dante
1;1;24;24;si volge a l’acqua perigliosa e guata,;dante
1;1;25;25;così l’animo mio, ch’ancor fuggiva,;dante
1;1;26;26;si volse a retro a rimirar lo passo;dante
1;1;27;27;che non lasciò già mai persona viva.;dante
1;1;28;28;Poi ch’èi posato un poco il corpo lasso,;dante
1;1;29;29;ripresi via per la piaggia diserta,;dante
1;1;30;30;sì che ’l piè fermo sempre era ’l più basso.;dante
1;1;31;31;Ed ecco, quasi al cominciar de l'erta,;dante
1;1;32;32;una lonza leggera e presta molto,;dante
1;1;33;33;"che di pel macolato era coverta;";dante
1;1;34;34;e non mi si partia dinanzi al volto,;dante
1;1;35;35;anzi ’mpediva tanto il mio cammino,;dante
1;1;36;36;ch’i’ fui per ritornar più volte vòlto.}};dante
1;1;37;37;Temp’era dal principio del mattino,;dante
1;1;38;38;e ’l sol montava ’n sù con quelle stelle;dante
1;1;39;39;ch’eran con lui quando l’amor divino;dante
1;1;40;40;"mosse di prima quelle cose belle;";dante
1;1;41;41;sì ch’a bene sperar m’era cagione;dante
1;1;42;42;di quella fiera a la gaetta pelle;dante
1;1;43;43;"l’ora del tempo e la dolce stagione;";dante
1;1;44;44;ma non sì che paura non mi desse;dante
1;1;45;45;la vista che m'apparve d'un leone.;dante
1;1;46;46;Questi parea che contra me venisse;dante
1;1;47;47;con la test’alta e con rabbiosa fame,;dante
1;1;48;48;sì che parea che l’aere ne tremesse.;dante
1;1;49;49;Ed una lupa, che di tutte brame;dante
1;1;50;50;sembiava carca ne la sua magrezza,;dante
1;1;51;51;e molte genti fé già viver grame,;dante
1;1;52;52;questa mi porse tanto di gravezza;dante
1;1;53;53;con la paura ch’uscia di sua vista,;dante
1;1;54;54;ch’io perdei la speranza de l’altezza.}};dante
1;1;55;55;E qual è quei che volontieri acquista,;dante
1;1;56;56;e giugne ’l tempo che perder lo face,;dante
1;1;57;57;"che ’n tutti suoi pensier piange e s’attrista;";dante
1;1;58;58;tal mi fece la bestia sanza pace,;dante
1;1;59;59;che, venendomi ’ncontro, a poco a poco;dante
1;1;60;60;mi ripigneva là dove ’l sol tace.;dante
