cantica;canto;verse;text
Inferno;1;1-3;Nel mezzo del cammin di nostra vita mi ritrovai per una selva oscura, ché la diritta via era smarrita.
Inferno;1;4-6;Ahi quanto a dir qual era è cosa dura esta selva selvaggia e aspra e forte che nel pensier rinova la paura! </span>
Inferno;1;7-9;"Tant’è amara che poco è più morte; ma per trattar del ben ch’i’ vi trovai, dirò de l’altre cose ch’i’ v’ ho scorte."
Inferno;1;10-12;Io non so ben ridir com’i’ v’intrai, tant’era pien di sonno a quel punto che la verace via abbandonai.
Inferno;1;13-15;Ma poi ch’i’ fui al piè d’un colle giunto, là dove terminava quella valle che m’avea di paura il cor compunto,
Inferno;1;16-18;guardai in alto e vidi le sue spalle vestite già de’ raggi del pianeta che mena dritto altrui per ogne calle.
Inferno;1;19-21;Allor fu la paura un poco queta, che nel lago del cor m’era durata la notte ch’i’ passai con tanta pieta.
Inferno;1;22-24;E come quei che con lena affannata, uscito fuor del pelago a la riva, si volge a l’acqua perigliosa e guata,
Inferno;1;25-27;così l’animo mio, ch’ancor fuggiva, si volse a retro a rimirar lo passo che non lasciò già mai persona viva.
Inferno;1;28-30;Poi ch’èi posato un poco il corpo lasso, ripresi via per la piaggia diserta, sì che ’l piè fermo sempre era ’l più basso.
Inferno;1;31-33;"Ed ecco, quasi al cominciar de l'erta, una lonza leggera e presta molto, che di pel macolato era coverta;"
Inferno;1;34-36;e non mi si partia dinanzi al volto, anzi ’mpediva tanto il mio cammino, ch’i’ fui per ritornar più volte vòlto.}}
Inferno;1;37-39;Temp’era dal principio del mattino, e ’l sol montava ’n sù con quelle stelle ch’eran con lui quando l’amor divino
Inferno;1;40-42;"mosse di prima quelle cose belle; sì ch’a bene sperar m’era cagione di quella fiera a la gaetta pelle"
Inferno;1;43-45;"l’ora del tempo e la dolce stagione; ma non sì che paura non mi desse la vista che m'apparve d'un leone."
Inferno;1;46-48;Questi parea che contra me venisse con la test’alta e con rabbiosa fame, sì che parea che l’aere ne tremesse.
Inferno;1;49-51;Ed una lupa, che di tutte brame sembiava carca ne la sua magrezza, e molte genti fé già viver grame,
Inferno;1;52-54;questa mi porse tanto di gravezza con la paura ch’uscia di sua vista, ch’io perdei la speranza de l’altezza.}}
Inferno;1;55-57;"E qual è quei che volontieri acquista, e giugne ’l tempo che perder lo face, che ’n tutti suoi pensier piange e s’attrista;"
Inferno;1;58-60;tal mi fece la bestia sanza pace, che, venendomi ’ncontro, a poco a poco mi ripigneva là dove ’l sol tace.
Inferno;1;61-63;Mentre ch’i’ rovinava in basso loco, dinanzi a li occhi mi si fu offerto chi per lungo silenzio parea fioco.
Inferno;1;64-66;"Quando vidi costui nel gran diserto, ""Miserere di me"", gridai a lui, ""qual che tu sii, od ombra od omo certo!""."
Inferno;1;67-69;"Rispuosemi: ""Non omo, omo già fui, e li parenti miei furon lombardi, mantoani per patrïa ambedui."
Inferno;1;70-72;Nacqui sub Iulio, ancor che fosse tardi, e vissi a Roma sotto ’l buono Augusto nel tempo de li dèi falsi e bugiardi.
Inferno;1;73-75;Poeta fui, e cantai di quel giusto figliuol d’Anchise che venne di Troia, poi che ’l superbo Ilïón fu combusto.
Inferno;1;76-78;"Ma tu perché ritorni a tanta noia? perché non sali il dilettoso monte ch’è principio e cagion di tutta gioia?""."
Inferno;1;79-81;"""Or se’ tu quel Virgilio e quella fonte che spandi di parlar sì largo fiume?"", rispuos’io lui con vergognosa fronte."
Inferno;1;82-84;"""O de li altri poeti onore e lume, vagliami ’l lungo studio e ’l grande amore che m’ ha fatto cercar lo tuo volume."
Inferno;1;85-87;Tu se’ lo mio maestro e ’l mio autore, tu se’ solo colui da cu’ io tolsi lo bello stilo che m’ ha fatto onore.
Inferno;1;88-90;"Vedi la bestia per cu’ io mi volsi; aiutami da lei, famoso saggio, ch’ella mi fa tremar le vene e i polsi""."
Inferno;1;91-93;"""A te convien tenere altro vïaggio"", rispuose, poi che lagrimar mi vide, ""se vuo’ campar d’esto loco selvaggio;"
Inferno;1;94-96;"ché questa bestia, per la qual tu gride, non lascia altrui passar per la sua via, ma tanto lo ’mpedisce che l’uccide;"
Inferno;1;97-99;e ha natura sì malvagia e ria, che mai non empie la bramosa voglia, e dopo ’l pasto ha più fame che pria.
Inferno;1;100-102;Molti son li animali a cui s’ammoglia, e più saranno ancora, infin che ’l veltro verrà, che la farà morir con doglia.
Inferno;1;103-105;Questi non ciberà terra né peltro, ma sapïenza, amore e virtute, e sua nazion sarà tra feltro e feltro.
Inferno;1;106-108;Di quella umile Italia fia salute per cui morì la vergine Cammilla, Eurialo e Turno e Niso di ferute.
Inferno;1;109-111;Questi la caccerà per ogne villa, fin che l’avrà rimessa ne lo ’nferno, là onde ’nvidia prima dipartilla.
Inferno;1;112-114;"Ond’io per lo tuo me’ penso e discerno che tu mi segui, e io sarò tua guida, e trarrotti di qui per loco etterno;"
Inferno;1;115-117;"ove udirai le disperate strida, vedrai li antichi spiriti dolenti, ch’a la seconda morte ciascun grida;"
Inferno;1;118-120;e vederai color che son contenti nel foco, perché speran di venire quando che sia a le beate genti.
Inferno;1;121-123;"A le quai poi se tu vorrai salire, anima fia a ciò più di me degna: con lei ti lascerò nel mio partire;"
