cantica;canto;cum_index;index;text;author
1;1;1;1;At one point midway on our path in life,;kirkpatrick
1;1;2;2;I came around and found myself now searching;kirkpatrick
1;1;3;3;through a dark wood, the right way blurred and lost.;kirkpatrick
1;1;4;4;How hard it is to say what that wood was,;kirkpatrick
1;1;5;5;a wilderness, savage, brute, harsh and wild.;kirkpatrick
1;1;6;6;Only to think of it renews my fear!;kirkpatrick
1;1;7;7;So bitter, that thought, that death is hardly more so.;kirkpatrick
1;1;8;8;But since my theme will be the good I found there, I mean;kirkpatrick
1;1;9;9;to speak of other things I saw.;kirkpatrick
1;1;10;10;I do not know, I cannot rightly say,;kirkpatrick
1;1;11;11;how ﬁrst I came to be here – so full of sleep,;kirkpatrick
1;1;12;12;that moment, abandoning the true way on.;kirkpatrick
1;1;13;13;But then, on reaching the foot of a hill;kirkpatrick
1;1;14;14;which marked the limit of the dark ravine;kirkpatrick
1;1;15;15;that had before so pierced my heart with panic,;kirkpatrick
1;1;16;16;I looked to that height and saw its shoulders;kirkpatrick
1;1;17;17;already clothed in rays from the planet;kirkpatrick
1;1;18;18;that leads all others, on any road, aright.;kirkpatrick
1;1;19;19;My fears, at this, were somewhat quieted,;kirkpatrick
1;1;20;20;though terror, awash in the lake of my heart,;kirkpatrick
1;1;21;21;had lasted all the night I’d passed in anguish.;kirkpatrick
1;1;22;22;And then, like someone labouring for breath;kirkpatrick
1;1;23;23;who, safely reaching shore from open sea,;kirkpatrick
1;1;24;24;still turns and stares across those perilous waves,  so in;kirkpatrick
1;1;25;25;my mind – my thoughts all ﬂeeing still –;kirkpatrick
1;1;26;26;I turned around to marvel at that strait;kirkpatrick
1;1;27;27;that let no living soul pass through till now.;kirkpatrick
1;1;28;28;And then – my weary limbs a little rested –;kirkpatrick
1;1;29;29;I started up the lonely scree once more,;kirkpatrick
1;1;30;30;the foot that drives me always set the lower.;kirkpatrick
1;1;31;31;But look now! Almost as the scarp begins,;kirkpatrick
1;1;32;32;a leopard, light and lively, svelte and quick,;kirkpatrick
1;1;33;33;its coat displaying a dappled marking.;kirkpatrick
1;1;34;34;This never ceased to dance before my face.;kirkpatrick
1;1;35;35;No. On it came, so bothering my tread;kirkpatrick
1;1;36;36;I’d half a mind at every turn to turn.;kirkpatrick
1;1;37;37;The time, however, was the hour of dawn.;kirkpatrick
1;1;38;38;The sun was mounting, and those springtime stars;kirkpatrick
1;1;39;39;that rose along with it when Holy Love;kirkpatrick
1;1;40;40;ﬁrst moved to being all these lovely things.;kirkpatrick
1;1;41;41;So these – the morning hour, the gentle season –;kirkpatrick
1;1;42;42;led me to ﬁnd good reason for my hopes,;kirkpatrick
1;1;43;43;seeing that creature with its sparkling hide.;kirkpatrick
1;1;44;44;Yet not so far that no fear pressed on me,;kirkpatrick
1;1;45;45;to see, appearing now, a lion face.;kirkpatrick
1;1;46;46;This, as it seemed, came on and on towards me;kirkpatrick
1;1;47;47;hungrily, its ravening head held high,;kirkpatrick
1;1;48;48;so that, in dread, the air around it trembled.;kirkpatrick
1;1;49;49;And then a wolf. And she who, seemingly,;kirkpatrick
1;1;50;50;was gaunt yet gorged on every kind of craving –;kirkpatrick
1;1;51;51;and had already blighted many a life –;kirkpatrick
1;1;52;52;so heavily oppressed my thought with fears,;kirkpatrick
1;1;53;53;which spurted even at the sight of her,;kirkpatrick
1;1;54;54;I lost all hope of reaching to those heights.;kirkpatrick
1;1;55;55;We all so willingly record our gains,;kirkpatrick
1;1;56;56;until the hour that leads us into loss.;kirkpatrick
1;1;57;57;Then every single thought is tears and sadness.;kirkpatrick
1;1;58;58;So, now, with me. That brute which knows no peace;kirkpatrick
1;1;59;59;came ever nearer me and, step by step,;kirkpatrick
1;1;60;60;drove me back down to where the sun is mute.;kirkpatrick
1;1;61;61;As I went, ruined, rushing to that low,;kirkpatrick
1;1;62;62;there had, before my eyes, been oﬀered one;kirkpatrick
1;1;63;63;who seemed – long silent – to be faint and dry.;kirkpatrick
1;1;64;64;Seeing him near in that great wilderness,;kirkpatrick
1;1;65;65;to him I screamed my ‘Miserere’ : ‘Save me,;kirkpatrick
1;1;66;66;whatever – shadow or truly man – you be.’;kirkpatrick
1;1;67;67;"His answer came to me: ‘No man; a man";kirkpatrick
1;1;68;68;I was in times long gone. Of Lombard stock,;kirkpatrick
1;1;69;69;my parents both by patria were Mantuan.;kirkpatrick
1;1;70;70;And I was born, though late, sub Iulio.;kirkpatrick
1;1;71;71;I lived at Rome in good Augustus’ day,;kirkpatrick
1;1;72;72;in times when all the gods were lying cheats.;kirkpatrick
1;1;73;73;I was a poet then. I sang in praise;kirkpatrick
1;1;74;74;of all the virtues of Anchises’ son. From Troy;kirkpatrick
1;1;75;75;he came – proud Ilion razed in ﬂame.;kirkpatrick
