cantica;canto;cum_verse_number;verse_number;verse_start;verse_end;text;author;style;temperature;prompt
1;1;1;1;1;1;Nel bel mezzo della nostra vita;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;2;2;2;2;Mi sono trovato in una foresta oscura.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;3;3;3;3;perché la strada giusta era stata smarrita.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;4;4;4;4;Oh, quanto è difficile dire quale fosse la cosa.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;5;5;5;5;Questa foresta selvaggia è selvaggia, rude e robusta.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;6;6;6;6;che rinnova la paura nel pensiero!;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;7;7;7;7;Così amara che è quasi come essere morti.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;8;8;8;8;ma per parlare del bene che ho trovato in voi,;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;9;9;9;9;Vi parlerò delle altre cose che ho notato.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;10;10;10;10;Non so bene raccontare come ci sono entrato.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;11;11;11;11;Era così stanco a quel punto;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;12;12;12;12;Ho abbandonato la vera strada.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;13;13;13;13;Ma quando sono arrivato ai piedi di una collina,;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;14;14;14;14;dove la valle finiva;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;15;15;15;15;il mio cuore era pieno di paura;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;16;16;16;16;Guardai verso l'alto e vidi le sue spalle.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;17;17;17;17;Vestite già della luce del sole.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;18;18;18;18;che porta direttamente gli altri per ogni strada.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;19;19;19;19;Allora la paura si calmò un po'.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;20;20;20;20;che nel mio cuore c'era durata come un lago;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;21;21;21;21;La notte che ho trascorso con tanta tristezza.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;22;22;22;22;E come quelli che con fatica respirano,;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;23;23;23;23;uscito dal mare sulla spiaggia;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;24;24;24;24;Guarda l'acqua pericolosa di fronte.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;25;25;25;25;così la mia mente, che ancora scappava,;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
