cantica;canto;verse;text;author
1;1;1-3;"Midway in the journey of our life I found
myself in a dark wood, for the straight way
was lost.";singleton
1;1;4-6;"Ah, how hard it is to tell what that
wood was, wild, rugged, harsh; the very
thought of it renews the fear!";singleton
1;1;7-9;"It is so bitter
that death is hardly more so. But, to treat of
the good that I found in it, I will tell of the
other things I saw there.";singleton
1;1;10-12;"I cannot rightly say how I entered it, I was
so full of sleep at the moment I left the true
way;";singleton
1;1;13-15;"but when I had reached the foot of a
hill, there at the end of the valley that had
pierced my heart with fear,";singleton
1;1;16-18;"I looked up and
saw its shoulders already clad in the rays of
the planet that leads men aright by every path.";singleton
1;1;19-21;"Then the fear was somewhat quieted that had
continued in the lake of my heart through the
night I had passed so piteously.";singleton
1;1;22-24;"And as he
who with laboring breath has escaped from
the deep to the shore turns to look back on
the dangerous waters,";singleton
1;1;25-27;"so my mind which was
still fleeing turned back to gaze upon the pass
that never left anyone alive.";singleton
1;1;28-30;"After I had rested my tired body a little, I
again took up my way across the desert
strand, so that the firm foot was always the
lower.";singleton
1;1;31-33;"And behold, near the beginning of the
steep, a leopard light-footed and very fleet,
covered with a spotted hide!";singleton
1;1;34-36;"And it did not
depart from before my eyes, but did so im-
pede my way that more than once I turned
round to go back.";singleton
1;1;37-39;"It was the beginning of the morning, and
the sun was mounting with the stars that were
with it when Divine Love ";singleton
1;1;40-42;"first set those beautiful things in motion, so that the hour of the
day and the sweet season gave me cause for
good hope of that beast with the gay skin;";singleton
1;1;43-45;"yet not so much that I did not feel afraid
at the sight of a lion ";singleton
1;1;46-48;"that appeared to me and
seemed to be coming at me, head high and
raging with hunger, so that the air seemed
to tremble at it; ";singleton
1;1;49-51;"and a she-wolf, that in her
leanness seemed laden with every craving and
had already caused many to live in sorrow:";singleton
1;1;52-54;"she put such
heaviness upon me with the fear that came
from sight of her that I lost hope of the height.";singleton
1;1;55-57;"And like one who is eager in winning, but,
when the time comes that makes him lose,
weeps and is saddened in all his thoughts,";singleton
1;1;58-60;"such did that peaceless beast make me, as,
coming on against me, she pushed me back,
little by little, to where the sun is silent.";singleton
1;1;61-63;"While I was ruining down to the depth
there appeared before me one who seemed
faint through long silence.";singleton
1;1;64-66;"When I saw him
in that vast desert, I cried to him, “Have pity
on me whatever you are, shade or living
man!”";singleton
1;1;67-69;"“No, not a living man, though once I was,”
he answered me, “and my parents were Lom-
bards, both Mantuans by birth.";singleton
1;1;70-72;"I was born
sub Julio, although late, and I lived at Rome
under the good Augustus, in the time of the
false and lying gods.";singleton
1;1;73-75;"I was a poet, and I sang
of that just son of Anchises who came from
Troy after proud Ilium was burned.";singleton
1;1;76-78;"But you,
why do you return to so much woe? Why do
you not climb the delectable mountain, the
source and cause of every happiness?”";singleton
